Inv_Id,Product_Category
15003,CLASS-2015
15008,CLASS-1957
15013,CLASS-1957
15019,CLASS-1322
15020,CLASS-2015
15022,CLASS-2015
15024,CLASS-1248
15026,CLASS-1758
15027,CLASS-1248
15028,CLASS-1805
15029,CLASS-2152
15031,CLASS-1983
15034,CLASS-1688
15037,CLASS-1248
15039,CLASS-1957
15043,CLASS-1567
15044,CLASS-2112
15045,CLASS-2241
15050,CLASS-1248
15054,CLASS-2152
15056,CLASS-1688
15057,CLASS-1248
15059,CLASS-1248
15063,CLASS-1652
15065,CLASS-1919
15079,CLASS-1983
15084,CLASS-1322
15088,CLASS-1248
15089,CLASS-2015
15093,CLASS-1870
15096,CLASS-2015
15104,CLASS-1248
15107,CLASS-1957
15113,CLASS-2152
15114,CLASS-1248
15116,CLASS-1248
15118,CLASS-2015
15127,CLASS-1983
15135,CLASS-1652
15136,CLASS-2015
15137,CLASS-1983
15142,CLASS-1983
15143,CLASS-2152
15149,CLASS-2152
15150,CLASS-1964
15152,CLASS-2015
15155,CLASS-2015
15160,CLASS-1248
15161,CLASS-2015
15165,CLASS-1688
15169,CLASS-1770
15170,CLASS-2015
15172,CLASS-1957
15176,CLASS-2015
15178,CLASS-1983
15183,CLASS-1957
15184,CLASS-1322
15188,CLASS-2015
15189,CLASS-1770
15194,CLASS-1957
15195,CLASS-1429
15204,CLASS-1983
15207,CLASS-2152
15209,CLASS-1688
15215,CLASS-1957
15225,CLASS-1248
15228,CLASS-2015
15229,CLASS-2015
15232,CLASS-1322
15234,CLASS-1429
15236,CLASS-1957
15237,CLASS-2015
15240,CLASS-1248
15242,CLASS-2015
15243,CLASS-1919
15244,CLASS-1248
15245,CLASS-2015
15247,CLASS-1248
15248,CLASS-1248
15249,CLASS-2015
15252,CLASS-1983
15253,CLASS-2152
15260,CLASS-1983
15261,CLASS-1770
15263,CLASS-2152
15265,CLASS-2152
15274,CLASS-2015
15276,CLASS-1322
15279,CLASS-1957
15283,CLASS-1983
